# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTZToLLNuNu_M-10, 2017, 1, 623, 465754, 419
TTZToLLNuNu_M-10, 2017, 1, 1449, 1084119, 316
TTZToLLNuNu_M-10, 2017, 1, 1546, 1156371, 301
TTZToLLNuNu_M-10, 2017, 1, 1548, 1158401, 331
TTZToLLNuNu_M-10, 2017, 1, 1787, 1337107, 571
TTZToLLNuNu_M-10, 2017, 1, 1442, 1079425, 341
TTZToLLNuNu_M-10, 2017, 1, 1682, 1258891, 485
TTZToLLNuNu_M-10, 2017, 1, 4897, 3664336, 338
ZJetsToNuNu_HT-400To600, 2017, 1, 793, 6830199, 302
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 11368, 74775094, 363
TTZToLLNuNu_M-10, 2017, 1, 9973, 7462693, 314
TTZToLLNuNu_M-10, 2017, 1, 9974, 7464235, 308
TTZToLLNuNu_M-10, 2017, 1, 9631, 7207419, 543
TTZToLLNuNu_M-10, 2017, 1, 8104, 6063979, 318
TTZToLLNuNu_M-10, 2017, 1, 8134, 6086497, 417
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 164247, 1087970653, 301
TTZToLLNuNu_M-10, 2017, 1, 10207, 7638299, 597
TTZToLLNuNu_M-10, 2017, 1, 9274, 6940129, 445
TTZToLLNuNu_M-10, 2017, 1, 8810, 6592918, 741
TTZToLLNuNu_M-10, 2017, 1, 744, 556611, 336
ZJetsToNuNu_HT-800To1200, 2017, 1, 2753, 19357343, 446
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 93597, 619981982, 318
TTZToLLNuNu_M-10, 2017, 1, 1198, 896309, 320
TTZToLLNuNu_M-10, 2017, 1, 1427, 1067765, 378
TTZToLLNuNu_M-10, 2017, 1, 1634, 1222524, 307
TTZToLLNuNu_M-10, 2017, 1, 2970, 2222455, 426
TTZToLLNuNu_M-10, 2017, 1, 4633, 3466790, 371
TTZToLLNuNu_M-10, 2017, 1, 6808, 5094354, 372
TTZToLLNuNu_M-10, 2017, 1, 3155, 2360556, 466
TTZToLLNuNu_M-10, 2017, 1, 3157, 2362294, 303
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 94530, 626164074, 301
WJetsToLNu_HT-400To600, 2017, 1, 190773, 126100372, 341
ZJetsToNuNu_HT-400To600, 2017, 1, 1685, 14523629, 330
ZJetsToNuNu_HT-600To800, 2017, 1, 5419, 48811805, 671
TTZToLLNuNu_M-10, 2017, 1, 10202, 7634478, 435
TTZToLLNuNu_M-10, 2017, 1, 46, 34346, 583
TTZToLLNuNu_M-10, 2017, 1, 967, 723872, 333
TTZToLLNuNu_M-10, 2017, 1, 835, 625059, 432
ZJetsToNuNu_HT-600To800, 2017, 1, 2004, 18047348, 335
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 65894, 433449097, 312
TTZToLLNuNu_M-10, 2017, 1, 1946, 1456738, 397
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 14007, 92781692, 404
ZJetsToNuNu_HT-800To1200, 2017, 1, 930, 6536017, 554
TTZToLLNuNu_M-10, 2017, 1, 7826, 5856510, 417
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 84658, 556879603, 303
TTZToLLNuNu_M-10, 2017, 1, 7994, 5982438, 420
TTZToLLNuNu_M-10, 2017, 1, 10039, 7512507, 333
TTZToLLNuNu_M-10, 2017, 1, 10403, 7784625, 320
TTZToLLNuNu_M-10, 2017, 1, 116, 86410, 373
TTZToLLNuNu_M-10, 2017, 1, 8878, 6643249, 391
TTZToLLNuNu_M-10, 2017, 1, 518, 387481, 400
TTZToLLNuNu_M-10, 2017, 1, 4919, 3681174, 385
TTZToLLNuNu_M-10, 2017, 1, 7136, 5339940, 337
TTZToLLNuNu_M-10, 2017, 1, 7871, 5889808, 331
TTZToLLNuNu_M-10, 2017, 1, 6232, 4663399, 483
TTZToLLNuNu_M-10, 2017, 1, 5495, 4112082, 405
WJetsToLNu_HT-400To600, 2017, 1, 67950, 44914581, 303
