# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTZToLLNuNu_M-10, 2017, 1, 4621, 3458194, 310
TTWJetsToLNu, 2017, 1, 2300, 2594023, 333
TTZToLLNuNu_M-10, 2017, 1, 4587, 3432596, 338
TTZToLLNuNu_M-10, 2017, 1, 4592, 3435890, 301
TTGJets, 2017, 1, 9855, 16673176, 302
TTZToQQ, 2017, 1, 6596, 7834133, 306
TTWJetsToLNu, 2017, 1, 3916, 4416183, 323
ttHTobb_M125, 2017, 1, 6224, 6022542, 374
ttHTobb_M125, 2017, 1, 6240, 6037825, 341
TTWJetsToLNu, 2017, 1, 1537, 1732936, 341
TTWJetsToLNu, 2017, 1, 1493, 1684240, 522
TTZToLLNuNu_M-10, 2017, 1, 4808, 3597869, 334
TTWJetsToLNu, 2017, 1, 1754, 1978373, 377
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 50220, 330342026, 347
TTZToLLNuNu_M-10, 2017, 1, 4949, 3703493, 339
TTZToLLNuNu_M-10, 2017, 1, 4865, 3640783, 363
TTZToLLNuNu_M-10, 2017, 1, 4955, 3707872, 499
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 37929, 249493367, 395
TTZToLLNuNu_M-10, 2017, 1, 4877, 3649290, 385
TTWJetsToLNu, 2017, 1, 2278, 2569099, 429
TTGJets, 2017, 1, 9471, 16024585, 328
TTZToLLNuNu_M-10, 2017, 1, 5087, 3806304, 309
TTZToLLNuNu_M-10, 2017, 1, 5087, 3806932, 337
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 38515, 253349915, 302
ttHTobb_M125, 2017, 1, 3102, 3001261, 311
TTJets_DiLept_genMET-150, 2017, 1, 89312, 538013624, 411
TTZToLLNuNu_M-10, 2017, 1, 6070, 4541958, 422
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 57724, 379705278, 303
TTWJetsToLNu, 2017, 1, 3155, 3557669, 491
TTWJetsToLNu, 2017, 1, 1739, 1960672, 377
TTGJets, 2017, 1, 7707, 13039818, 390
TTZToLLNuNu_M-10, 2017, 1, 6100, 4564825, 356
TTZToLLNuNu_M-10, 2017, 1, 6106, 4568913, 448
TTWJetsToLNu, 2017, 1, 6023, 6792267, 440
TTZToLLNuNu_M-10, 2017, 1, 6107, 4570292, 401
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 63024, 414571068, 314
TTZToQQ, 2017, 1, 6240, 7478157, 319
TTZToLLNuNu_M-10, 2017, 1, 6108, 4570758, 366
TTZToLLNuNu_M-10, 2017, 1, 5314, 3975923, 400
TTWJetsToLNu, 2017, 1, 2020, 2277393, 310
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 154605, 1024102368, 331
TTZToLLNuNu_M-10, 2017, 1, 5321, 3981998, 483
ttHTobb_M125, 2017, 1, 3265, 3158921, 339
TTZToLLNuNu_M-10, 2017, 1, 8881, 6645629, 569
TTWJetsToLNu, 2017, 1, 2831, 3191929, 326
TTWJetsToLNu, 2017, 1, 1774, 1999631, 392
TTWJetsToLNu, 2017, 1, 1775, 2001926, 362
TTJets_DiLept_genMET-150, 2017, 1, 87018, 524196050, 309
TTZToLLNuNu_M-10, 2017, 1, 8944, 6692857, 390
TTZToQQ, 2017, 1, 7389, 8627901, 391
TTZToLLNuNu_M-10, 2017, 1, 8944, 6693155, 407
ttHTobb_M125, 2017, 1, 6474, 6264236, 330
TTGJets, 2017, 1, 8765, 14830171, 308
TTZToLLNuNu_M-10, 2017, 1, 9460, 7078996, 304
TTZToLLNuNu_M-10, 2017, 1, 9461, 7079977, 307
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 55819, 367174554, 391
TTZToQQ, 2017, 1, 6938, 8176426, 413
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 36743, 241690334, 312
TTJets_DiLept_genMET-150, 2017, 1, 82732, 498373590, 301
TTGJets, 2017, 1, 3418, 5782174, 323
TTZToLLNuNu_M-10, 2017, 1, 9457, 7076738, 359
TTZToLLNuNu_M-10, 2017, 1, 9079, 6794166, 395
TTGJets, 2017, 1, 4183, 7076382, 358
TTWJetsToLNu, 2017, 1, 3160, 3563057, 489
TTZToLLNuNu_M-10, 2017, 1, 10453, 7822061, 358
TTZToLLNuNu_M-10, 2017, 1, 10346, 7742413, 353
TTZToLLNuNu_M-10, 2017, 1, 10360, 7752166, 451
TTZToLLNuNu_M-10, 2017, 1, 10360, 7752762, 314
TTZToLLNuNu_M-10, 2017, 1, 10360, 7752975, 308
TTZToLLNuNu_M-10, 2017, 1, 10355, 7748894, 346
TTZToLLNuNu_M-10, 2017, 1, 10357, 7750206, 385
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 50905, 334847198, 310
TTZToLLNuNu_M-10, 2017, 1, 10363, 7754782, 366
TTZToLLNuNu_M-10, 2017, 1, 10363, 7754933, 335
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 46402, 305228477, 341
TTZToLLNuNu_M-10, 2017, 1, 10528, 7878123, 321
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 151422, 1003018559, 322
ttHTobb_M125, 2017, 1, 1400, 1354389, 379
TTZToLLNuNu_M-10, 2017, 1, 5693, 4259772, 448
TTZToLLNuNu_M-10, 2017, 1, 5660, 4236058, 379
TTJets_DiLept_genMET-150, 2017, 1, 23094, 139113460, 303
TTZToLLNuNu_M-10, 2017, 1, 5297, 3963803, 344
TTZToLLNuNu_M-10, 2017, 1, 5923, 4431696, 519
TTZToLLNuNu_M-10, 2017, 1, 5923, 4432263, 313
TTZToLLNuNu_M-10, 2017, 1, 5923, 4432607, 364
TTWJetsToLNu, 2017, 1, 1772, 1999103, 373
TTZToLLNuNu_M-10, 2017, 1, 5338, 3993981, 300
TTZToLLNuNu_M-10, 2017, 1, 5338, 3994651, 301
TTZToLLNuNu_M-10, 2017, 1, 5339, 3995325, 418
TTZToLLNuNu_M-10, 2017, 1, 5339, 3995501, 476
TTZToLLNuNu_M-10, 2017, 1, 5387, 4031544, 505
TTZToLLNuNu_M-10, 2017, 1, 5933, 4440272, 314
ttHTobb_M125, 2017, 1, 8002, 7743219, 326
TTZToLLNuNu_M-10, 2017, 1, 5776, 4321946, 305
TTZToLLNuNu_M-10, 2017, 1, 5318, 3979506, 356
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 52463, 345096129, 375
TTZToLLNuNu_M-10, 2017, 1, 5341, 3996649, 435
TTZToLLNuNu_M-10, 2017, 1, 5821, 4355877, 314
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 27402, 181509137, 317
TTZToLLNuNu_M-10, 2017, 1, 5346, 4000532, 641
